"RANKINDEX","PrePRODUCT_ID","PrePRODUCT_NAME","PreCATEGORY","PreBRAND","PreCOST_PRICE","PreUNIT_PRICE","TRANSACTION_ID","STORE_ID","TRANSACTION_DATE","PRODUCT_ID","QUANTITY","DISCOUNT_PERCENT","f","o_YEAR","o_MONTH","TOTAL_QUANTITY"
1,"P_004","Product 004","Sports","BrandC","89.45","155.17","113288","102","10/31/2024","P_004","4","15",,"2024","10","16"
2,"P_001","Product 001","Home","BrandD","291.46","482.98","113258","106","10/11/2024","P_001","5","0",,"2024","10","22"
3,"P_043","Product 043","Home","BrandA","216.59","306.16","113252","101","10/16/2024","P_043","4","10",,"2024","10","24"
4,"P_005","Product 005","Sports","BrandD","58.75","90.98","113406","106","10/4/2024","P_005","1","20",,"2024","10","27"
4,"P_015","Product 015","Home","BrandD","281.43","463.89","113300","102","10/28/2024","P_015","3","15",,"2024","10","27"
6,"P_026","Product 026","Clothing","BrandB","148.98","285.01","113248","102","10/29/2024","P_026","4","20",,"2024","10","30"
7,"P_003","Product 003","Clothing","BrandD","95.83","145.24","113232","101","10/2/2024","P_003","4","5",,"2024","10","31"
8,"P_011","Product 011","Home","BrandA","63.95","107.43","113236","106","10/13/2024","P_011","2","5",,"2024","10","33"
8,"P_019","Product 019","Electronics","BrandB","170.91","230.23","113240","105","10/3/2024","P_019","5","10",,"2024","10","33"
10,"P_008","Product 008","Clothing","BrandC","110.44","203.49","113293","107","10/18/2024","P_008","3","10",,"2024","10","34"
10,"P_021","Product 021","Grocery","BrandD","112.23","191.7","113236","106","10/13/2024","P_021","3","5",,"2024","10","34"
10,"P_041","Product 041","Home","BrandB","230.38","350.8","113243","104","10/7/2024","P_041","1","5",,"2024","10","34"
13,"P_028","Product 028","Grocery","BrandB","285.08","486.14","113275","101","10/9/2024","P_028","1","0",,"2024","10","36"
14,"P_024","Product 024","Electronics","BrandC","208.42","299.74","113242","108","10/4/2024","P_024","1","20",,"2024","10","37"
14,"P_027","Product 027","Clothing","BrandD","116.38","197.63","113276","101","10/27/2024","P_027","5","15",,"2024","10","37"
14,"P_037","Product 037","Clothing","BrandB","67.57","108.84","113238","107","10/17/2024","P_037","1","5",,"2024","10","37"
17,"P_038","Product 038","Sports","BrandC","324.13","448.92","113233","102","10/10/2024","P_038","3","15",,"2024","10","38"
18,"P_012","Product 012","Clothing","BrandD","260.56","358.56","113238","105","10/17/2024","P_012","2","5",,"2024","10","39"
18,"P_032","Product 032","Home","BrandB","115.04","135.47","113332","106","10/6/2024","P_032","5","10",,"2024","10","39"
18,"P_034","Product 034","Electronics","BrandD","301.56","358.22","113253","102","10/14/2024","P_034","3","10",,"2024","10","39"
21,"P_030","Product 030","Home","BrandB","272.48","363.65","113245","104","10/30/2024","P_030","3","20",,"2024","10","40"
21,"P_040","Product 040","Grocery","BrandA","196.15","286.01","113276","106","10/27/2024","P_040","5","20",,"2024","10","40"
23,"P_023","Product 023","Home","BrandA","193.9","336.3","113245","104","10/30/2024","P_023","4","5",,"2024","10","41"
23,"P_050","Product 050","Home","BrandB","202.07","315.93","113257","104","10/11/2024","P_050","4","0",,"2024","10","41"
25,"P_010","Product 010","Sports","BrandB","13.81","16.9","113259","103","10/1/2024","P_010","4","15",,"2024","10","42"
25,"P_035","Product 035","Clothing","BrandC","41.43","64.34","113269","106","10/26/2024","P_035","4","10",,"2024","10","42"
