"RANKINDEX","PMPRODUCT_ID","PMPRODUCT_NAME","PMCATEGORY","PMBRAND","PMCOST_PRICE","PMUNIT_PRICE","TRANSACTION_ID","STORE_ID","TRANSACTION_DATE","PRODUCT_ID","QUANTITY","DISCOUNT_PERCENT","f","TOTAL_QUANTITY_SOLD","o_TOTAL_REVENUE"
1,"P_037","Product 037","Clothing","BrandB","67.57","108.84","110616","101","4/28/2024","P_037","5","0",,"98","10682"
2,"P_025","Product 025","Electronics","BrandB","92.74","144.61","110653","101","4/3/2024","P_025","1","20",,"97","14065"
3,"P_012","Product 012","Clothing","BrandD","260.56","358.56","111227","101","5/8/2024","P_012","2","15",,"94","33746"
4,"P_014","Product 014","Grocery","BrandD","191.33","306.92","111267","101","5/10/2024","P_014","3","15",,"86","26402"
4,"P_036","Product 036","Sports","BrandD","115.24","225.27","110620","101","4/7/2024","P_036","5","15",,"86","19350"
1,"P_009","Product 009","Clothing","BrandC","96.09","153.81","110843","102","4/22/2024","P_009","2","5",,"99","15246"
2,"P_033","Product 033","Home","BrandC","17.69","29.81","110927","102","4/4/2024","P_033","3","5",,"96","2880"
3,"P_025","Product 025","Electronics","BrandB","92.74","144.61","110839","102","4/4/2024","P_025","3","15",,"91","13195"
4,"P_042","Product 042","Electronics","BrandD","54.28","78.27","110751","102","4/18/2024","P_042","1","10",,"88","6864"
5,"P_031","Product 031","Clothing","BrandD","69.33","125.63","110901","102","4/29/2024","P_031","3","15",,"87","10962"
1,"P_046","Product 046","Electronics","BrandB","276","472","110961","103","4/14/2024","P_046","3","10",,"97","45784"
2,"P_043","Product 043","Home","BrandA","216.59","306.16","111352","103","5/1/2024","P_043","3","5",,"95","29070"
3,"P_024","Product 024","Electronics","BrandC","208.42","299.74","111229","103","5/2/2024","P_024","2","0",,"93","27900"
4,"P_044","Product 044","Grocery","BrandD","145.03","274.52","110968","103","4/5/2024","P_044","1","20",,"92","25300"
5,"P_010","Product 010","Sports","BrandB","13.81","16.9","111101","103","5/27/2024","P_010","1","15",,"91","1547"
1,"P_049","Product 049","Grocery","BrandD","372.65","441.43","110606","104","4/20/2024","P_049","2","0",,"98","43218"
2,"P_003","Product 003","Clothing","BrandD","95.83","145.24","110636","104","4/5/2024","P_003","1","0",,"93","13485"
2,"P_017","Product 017","Home","BrandB","314.84","458.33","110781","104","4/29/2024","P_017","3","20",,"93","42594"
4,"P_006","Product 006","Grocery","BrandA","14.29","17.66","110922","104","4/25/2024","P_006","1","15",,"90","1620"
5,"P_019","Product 019","Electronics","BrandB","170.91","230.23","110912","104","4/28/2024","P_019","1","10",,"88","20240"
1,"P_025","Product 025","Electronics","BrandB","92.74","144.61","110849","105","4/14/2024","P_025","2","10",,"99","14355"
2,"P_005","Product 005","Sports","BrandD","58.75","90.98","110892","105","4/26/2024","P_005","2","15",,"97","8827"
3,"P_045","Product 045","Grocery","BrandA","68.92","109.5","110761","105","4/7/2024","P_045","2","10",,"96","10560"
4,"P_013","Product 013","Sports","BrandB","198.67","397.19","111017","105","4/19/2024","P_013","5","5",,"95","37715"
5,"P_040","Product 040","Grocery","BrandA","196.15","286.01","111399","105","5/5/2024","P_040","1","20",,"94","26884"
1,"P_010","Product 010","Sports","BrandB","13.81","16.9","111061","106","4/29/2024","P_010","5","10",,"97","1649"
1,"P_011","Product 011","Home","BrandA","63.95","107.43","110715","106","4/9/2024","P_011","1","20",,"97","10379"
1,"P_019","Product 019","Electronics","BrandB","170.91","230.23","110950","106","4/18/2024","P_019","4","15",,"97","22310"
4,"P_021","Product 021","Grocery","BrandD","112.23","191.7","110909","106","4/24/2024","P_021","5","5",,"92","17664"
5,"P_039","Product 039","Electronics","BrandD","179.34","242.93","110772","106","4/21/2024","P_039","2","15",,"86","20898"
1,"P_047","Product 047","Grocery","BrandC","237.02","303.44","111059","107","4/1/2024","P_047","4","15",,"99","29997"
1,"P_048","Product 048","Sports","BrandA","232.9","350.44","112157","107","7/9/2024","P_048","3","0",,"99","34650"
3,"P_009","Product 009","Clothing","BrandC","96.09","153.81","110629","107","4/23/2024","P_009","4","20",,"95","14630"
4,"P_043","Product 043","Home","BrandA","216.59","306.16","110719","107","4/22/2024","P_043","2","15",,"94","28764"
5,"P_021","Product 021","Grocery","BrandD","112.23","191.7","110654","107","4/12/2024","P_021","5","10",,"92","17664"
1,"P_038","Product 038","Sports","BrandC","324.13","448.92","111175","108","5/29/2024","P_038","3","15",,"99","44451"
2,"P_006","Product 006","Grocery","BrandA","14.29","17.66","110663","108","4/21/2024","P_006","4","0",,"98","1764"
3,"P_040","Product 040","Grocery","BrandA","196.15","286.01","110893","108","4/8/2024","P_040","1","0",,"96","27456"
4,"P_001","Product 001","Home","BrandD","291.46","482.98","111047","108","4/28/2024","P_001","4","20",,"94","45402"
4,"P_027","Product 027","Clothing","BrandD","116.38","197.63","110785","108","4/12/2024","P_027","4","0",,"94","18612"
1,"P_034","Product 034","Electronics","BrandD","301.56","358.22","112640","85","8/16/2024","P_034","3","0",,"3","1074"
