"TRANSACTION_ID","STORE_ID","TRANSACTION_DATE","PRODUCT_ID","QUANTITY","DISCOUNT_PERCENT","O_QUANTITY","O_DISCOUNT","O_TRANSACTION_DATE","REJECT_FLAG","REJECT_REASON"
"100013","107","4/16/2024","P_029","2","-5",2,5,"4/16/2024",0,"Valid"
"100431","103","4/29/2024","P_019","1","-10",1,10,"4/29/2024",0,"Valid"
"100437","102","4/16/2024","P_014","-3","15",3,15,"4/16/2024",0,"Valid"
"100445","107","4/26/2024","P_028","1","-15",1,15,"4/26/2024",0,"Valid"
"100453","101","4/1/2024","P_047","-4","15",4,15,"4/1/2024",0,"Valid"
"100646","103","5/15/2024","P_020","4","-10",4,10,"5/15/2024",0,"Valid"
"100651","102","5/13/2024","P_031","-3","10",3,10,"5/13/2024",0,"Valid"
"100714","105","5/16/2024","P_015","-1","10",1,10,"5/16/2024",0,"Valid"
"100727","102","5/15/2024","P_039","5","-15",5,15,"5/15/2024",0,"Valid"
"100731","108","5/10/2024","P_028","-3","0",3,0,"5/10/2024",0,"Valid"
"100738","101","5/14/2024","P_023","-3","20",3,20,"5/14/2024",0,"Valid"
"100780","108","5/14/2024","P_020","-3","0",3,0,"5/14/2024",0,"Valid"
"100799","104","5/24/2024","P_046","-1","15",1,15,"5/24/2024",0,"Valid"
"100855","102","5/21/2024","P_012","-5","5",5,5,"5/21/2024",0,"Valid"
"100944","108","6/27/2024","P_044","2","0",2,0,"6/27/2024",0,"Valid"
"100955","105","6/10/2024","P_009","-2","5",2,5,"6/10/2024",0,"Valid"
"101005","106","6/27/2024","P_050","3","-20",3,20,"6/27/2024",0,"Valid"
"101223","107","6/9/2024","P_007","-1","20",1,20,"6/9/2024",0,"Valid"
"101243","106","6/29/2024","P_022","-3","5",3,5,"6/29/2024",0,"Valid"
"101320","105","6/29/2024","P_013","-1","10",1,10,"6/29/2024",0,"Valid"
"101438","104","7/17/2024","P_006","-3","10",3,10,"7/17/2024",0,"Valid"
"101457","106","7/31/2024","P_033","-4","5",4,5,"7/31/2024",0,"Valid"
"101486","108","7/11/2024","P_003","-3","5",3,5,"7/11/2024",0,"Valid"
"101584","101","7/10/2024","P_043","-1","20",1,20,"7/10/2024",0,"Valid"
"101652","103","7/14/2024","P_036","-4","15",4,15,"7/14/2024",0,"Valid"
"101671","102","7/13/2024","P_019","2","-10",2,10,"7/13/2024",0,"Valid"
"101718","107","7/26/2024","P_039","-5","15",5,15,"7/26/2024",0,"Valid"
"101744","103","7/28/2024","P_004","1","-20",1,20,"7/28/2024",0,"Valid"
"101758","106","7/27/2024","P_002","1","-15",1,15,"7/27/2024",0,"Valid"
"101758","106","7/27/2024","P_002","1","-15",1,15,"7/27/2024",0,"Valid"
"101793","101","7/16/2024","P_040","3","-5",3,5,"7/16/2024",0,"Valid"
"101798","107","7/1/2024","P_020","3","0",3,0,"7/1/2024",0,"Valid"
"101836","107","8/3/2024","P_031","5","0",5,0,"8/3/2024",0,"Valid"
"101890","103","8/21/2024","P_018","5","-10",5,10,"8/21/2024",0,"Valid"
"101990","105","8/12/2024","P_003","5","-5",5,5,"8/12/2024",0,"Valid"
"102160","102","8/11/2024","P_048","-1","0",1,0,"8/11/2024",0,"Valid"
"102258","104","8/1/2024","P_013","2","0",2,0,"8/1/2024",0,"Valid"
"102411","104","9/12/2024","P_014","-2","20",2,20,"9/12/2024",0,"Valid"
"102462","108","9/15/2024","P_013","1","-20",1,20,"9/15/2024",0,"Valid"
"102498","106","9/4/2024","P_017","-2","15",2,15,"9/4/2024",0,"Valid"
"102502","107","9/21/2024","P_044","4","-20",4,20,"9/21/2024",0,"Valid"
"102505","102","9/11/2024","P_013","-4","5",4,5,"9/11/2024",0,"Valid"
"102514","105","9/5/2024","P_025","-2","10",2,10,"9/5/2024",0,"Valid"
"102569","102","9/1/2024","P_007","5","-20",5,20,"9/1/2024",0,"Valid"
"102577","101","9/21/2024","P_037","1","-15",1,15,"9/21/2024",0,"Valid"
"102591","102","9/14/2024","P_022","-4","10",4,10,"9/14/2024",0,"Valid"
"102639","101","10/30/2024","P_025","3","-20",3,20,"10/30/2024",0,"Valid"
"102875","101","10/31/2024","P_017","-2","20",2,20,"10/31/2024",0,"Valid"
"102942","104","10/19/2024","P_028","1","-5",1,5,"10/19/2024",0,"Valid"
"102946","104","10/8/2024","P_013","-5","20",5,20,"10/8/2024",0,"Valid"
"102951","107","10/10/2024","P_034","1","-5",1,5,"10/10/2024",0,"Valid"
"102979","104","10/14/2024","P_007","1","0",1,0,"10/14/2024",0,"Valid"
