TRANSACTION_ID,STORE_ID,TRANSACTION_DATE,PRODUCT_ID,QUANTITY,DISCOUNT_PERCENT,O_QUANTITY,O_DISCOUNT,O_TRANSACTION_DATE,REJECT_FLAG,REJECT_REASON
"100024",,"4/7/2024","P_005","5","10",5,10,"4/7/2024",1,"Null Store"
"100035","101","2026/13/40","P_039","5","15",5,15,"2026/13/40",1,"Invalid Da"
"100048","104","4/12/2024",,"4","10",4,10,"4/12/2024",1,"Null Produ"
"100059","106","4/10/2024",,"1","10",1,10,"4/10/2024",1,"Null Produ"
"100095","105","2026/13/40","P_014","4","10",4,10,"2026/13/40",1,"Invalid Da"
"100100","106","2026/13/40","P_003","3","5",3,5,"2026/13/40",1,"Invalid Da"
"100103","102","4/22/2024",,"5","10",5,10,"4/22/2024",1,"Null Produ"
"100106","103","4/19/2024","P_005","0","10",0,10,"4/19/2024",1,"Zero Quant"
"100125","107","4/22/2024","P_033","5","150",5,150,"4/22/2024",1,"Discount >"
"100134","103","4/6/2024","P_040","2","150",2,150,"4/6/2024",1,"Discount >"
"100141","103","4/12/2024","P_037","4","150",4,150,"4/12/2024",1,"Discount >"
"100156","101","4/24/2024",,"3","5",3,5,"4/24/2024",1,"Null Produ"
"100178","103","2026/13/40","P_049","1","15",1,15,"2026/13/40",1,"Invalid Da"
"100185","106","4/18/2024",,"3","20",3,20,"4/18/2024",1,"Null Produ"
"100191","107","2026/13/40","P_007","3","15",3,15,"2026/13/40",1,"Invalid Da"
"100225","102","4/6/2024",,"3","5",3,5,"4/6/2024",1,"Null Produ"
"100243","105","4/14/2024",,"2","10",2,10,"4/14/2024",1,"Null Produ"
"100277","102","4/4/2024",,"4","5",4,5,"4/4/2024",1,"Null Produ"
"100282","103","2026/13/40","P_005","4","0",4,0,"2026/13/40",1,"Invalid Da"
"100304","104","4/4/2024","P_045","4","150",4,150,"4/4/2024",1,"Discount >"
"100306",,"4/28/2024","P_019","1","10",1,10,"4/28/2024",1,"Null Store"
"100306","106","4/28/2024",,"5","15",5,15,"4/28/2024",1,"Null Produ"
"100331","102","4/27/2024","P_049","0","0",0,0,"4/27/2024",1,"Zero Quant"
"100332","108","4/3/2024",,"1","5",1,5,"4/3/2024",1,"Null Produ"
"100354","107","2026/13/40","P_027","2","15",2,15,"2026/13/40",1,"Invalid Da"
"100362","103","4/5/2024","P_044","1","150",1,150,"4/5/2024",1,"Discount >"
"100376","105","2026/13/40","P_001","4","10",4,10,"2026/13/40",1,"Invalid Da"
"100402","103","2026/13/40","P_013","2","10",2,10,"2026/13/40",1,"Invalid Da"
"100403","101","4/29/2024",,"4","5",4,5,"4/29/2024",1,"Null Produ"
"100409","107","4/27/2024","P_045","0","0",0,0,"4/27/2024",1,"Zero Quant"
"100410",,"4/13/2024","P_017","1","0",1,0,"4/13/2024",1,"Null Store"
"100415","107","2026/13/40","P_037","5","20",5,20,"2026/13/40",1,"Invalid Da"
"100438","101","4/7/2024","P_013","0","20",0,20,"4/7/2024",1,"Zero Quant"
"100478","106","2026/13/40","P_021","5","15",5,15,"2026/13/40",1,"Invalid Da"
"100482","107","4/27/2024",,"5","20",5,20,"4/27/2024",1,"Null Produ"
"100485","107","4/22/2024",,"3","20",3,20,"4/22/2024",1,"Null Produ"
